,review_number,revision_number,status,author,url,start_date,start_time,close_date,close_time
1869,58204,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/58204/2,2016-01-04,10:39:34.561000000,2016-01-04,10:58:50.582000000
1872,58205,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/58205/3,2016-01-04,11:08:11.212000000,2016-01-04,11:40:52.783000000
1887,58223,15,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/58223/15,2016-01-04,18:30:43.136000000,2016-01-19,18:11:19.321000000
1889,58251,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/58251/2,2016-01-05,10:05:59.465000000,2016-01-05,12:09:08.195000000
1891,58316,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/58316/2,2016-01-06,15:45:31.822000000,2016-01-07,10:34:38.788000000
1893,58891,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/58891/2,2016-01-21,16:32:08.912000000,2016-01-21,19:52:27.032000000
1895,58892,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/58892/2,2016-01-21,16:35:09.948000000,2016-01-21,19:51:59.079000000
1899,58893,4,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/58893/4,2016-01-21,18:28:04.261000000,2016-02-23,18:38:56.451000000
1902,59015,3,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/59015/3,2016-01-25,15:04:40.597000000,2016-04-27,15:30:24.027000000
1906,59037,4,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/59037/4,2016-01-25,16:55:16.841000000,2016-01-28,09:49:58.702000000
1908,59133,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/59133/2,2016-01-27,10:51:04.687000000,2016-01-27,16:38:02.608000000
1909,59167,1,Rejected,Daniel Blair,http://review.couchbase.org/#/c/59167/1,2016-01-28,02:32:27.370000000,2016-02-08,10:17:03.748000000
1911,59170,2,Rejected,Daniel Blair,http://review.couchbase.org/#/c/59170/2,2016-01-28,03:27:58.448000000,2016-01-28,06:31:43.747000000
1912,59249,1,Rejected,Lucia Hendrix,http://review.couchbase.org/#/c/59249/1,2016-01-29,09:31:23.348000000,2016-01-29,13:32:47.309000000
